Rider_ID,Initial_Location,Dropoff_Location,status,systemjoin,pickup,dropoff
r220,"[18.725099831377456, 6.972498411289907]","[18.42347939998958, 13.30816584404146]",Completed,7.49918285885325,,
r221,"[12.647402743482015, 7.2376043433138655]","[8.876232199807394, 18.644604406972782]",Completed,7.673948507805845,,
r222,"[11.507922537266683, 18.869700800194945]","[12.517828161022637, 11.73586364847823]",Completed,7.709766976975642,,
r223,"[14.17038238293104, 5.586524836750549]","[10.038235082261348, 18.76432838834146]",Completed,7.723401331315251,,
r224,"[10.49893714677145, 16.597054442778333]","[10.55136095969743, 18.20578245090801]",Abandoned,7.757155187273215,,
r225,"[4.014007205265915, 19.745954169668913]","[15.55773813557936, 5.577015582140086]",Abandoned,7.902456359310585,,
r226,"[7.1678742825436, 17.774486374478947]","[7.469955825486158, 11.062181554193666]",Abandoned,7.954952882087385,,
r227,"[17.45360983694051, 16.95851423420379]","[6.2913067965846565, 9.251460398003797]",Completed,8.062331575876971,,
r228,"[3.6490296253897814, 8.627161311654614]","[7.719667508470862, 12.017531574123204]",Completed,8.197038674801933,,
r229,"[13.71678196834, 12.404274170815587]","[1.4312497898273202, 9.835050676149024]",Completed,8.263218379698248,,
r230,"[7.5230194838530124, 3.870797413330529]","[12.886092321201154, 14.17317593260812]",Completed,8.268864547559042,,
r231,"[9.663838415516706, 2.698872348942325]","[9.407741577667295, 1.7078983120561353]",Completed,8.280976146374186,,
r232,"[11.603142061502329, 2.4601431149234076]","[2.6320828747246483, 14.408479623152054]",Completed,8.31499963290387,,
r233,"[16.648514370304515, 12.79010357447153]","[10.634639114582193, 19.451836034146673]",Completed,8.31952030244355,,
r234,"[4.9211154493703635, 6.204601977897375]","[17.076666711301794, 16.173485755143574]",Abandoned,8.332294714371983,,
r235,"[9.564061467992262, 2.8199993586524785]","[13.655425809901825, 7.383745457621931]",Abandoned,8.376111422239852,,
